Date,Open,High,Low,Close
1/1/2013,1410.6,1427.9,1408.3,1415.1
2/1/2013,1421,1626.6,1416.15,1607.4
3/1/2013,1632.55,1673.9,1613.05,1626.2
4/1/2013,1627.75,1627.75,1574.6,1579.05
7/1/2013,1580,1639.5,1565.5,1595.65
8/1/2013,1600,1656,1592.8,1625.2
9/1/2013,1633.1,1635.7,1595.55,1602.95
10/1/2013,1631,1631,1589,1603.75
11/1/2013,1613.3,1613.35,1575,1581.9
14/1/2013,1588.1,1608,1580,1593.7
15/1/2013,1605.45,1605.45,1582.2,1586.95
16/1/2013,1588.05,1591.15,1570,1572.7
17/1/2013,1577.15,1645.8,1570,1599.9
18/1/2013,1609.8,1614.7,1578.55,1587
21/1/2013,1594.75,1621,1587.95,1596.9
22/1/2013,1596.95,1609.9,1572.3,1578.9
23/1/2013,1581.15,1592.5,1535,1556
24/1/2013,1558,1574.4,1516.15,1528.6
25/1/2013,1538.6,1603.7,1533.4,1584.6
28/1/2013,1598.95,1612.15,1561.7,1570.25
29/1/2013,1570.25,1577.95,1545.1,1549.05
30/1/2013,1555,1559.8,1511.6,1523
31/1/2013,1523,1530.05,1495,1503.7
1/2/2013,1504,1551.9,1500,1521.6
4/2/2013,1533.1,1549,1505,1508.9
5/2/2013,1502.05,1524.65,1483.15,1504.25
6/2/2013,1519.35,1531,1506,1512.65
7/2/2013,1515,1525.1,1490.4,1498.8
8/2/2013,1510,1510,1472.25,1485.8
11/2/2013,1498.4,1511.95,1476,1483.15
12/2/2013,1490.45,1505.9,1478,1489.55
13/2/2013,1498.3,1539,1480.65,1493.9
14/2/2013,1492.5,1507.9,1479.95,1481.45
15/2/2013,1479.95,1500,1479.95,1485.55
18/2/2013,1491.25,1513,1486.15,1491.45
19/2/2013,1497.95,1524.6,1486.15,1513.2
20/2/2013,1520,1535,1513,1518.6
21/2/2013,1514.4,1548.95,1502.05,1510.7
22/2/2013,1519.85,1519.95,1501,1507.65
25/2/2013,1519.05,1524.85,1420,1484.3
26/2/2013,1482,1489.9,1456.55,1463.2
